Category,Cat. 2,Product,Size,Sourcing Method,Price (USD),Shipping (USD),GST (USD),Qty,Total (USD),Link,% of Grant,Grant Money Left,% of Grant Money Left
Exterior,,,,,,,,,,,0.00%,$350.00,100.00%
,Panels,,,,,,,,,,0.00%,$350.00,100.00%
,,Acrylic,860x630mm,Self,$0.00,$0.00,$0.00,1,$0.00,,0.00%,$350.00,100.00%
,,Flute Board,900x600mm,Self,$0.00,$0.00,$0.00,1,$0.00,,0.00%,$350.00,100.00%
,Etc.,,,,,,,,,,0.00%,$350.00,100.00%
,,Magnet,10x2mm,AliExpress,$5.60,$0.00,$0.56,1,$6.16,https://www.aliexpress.com/item/1005011864346920.html,1.76%,$343.84,98.24%
Internals,,,,,,,,,,,0.00%,$343.84,98.24%
,Frame,,,,,,,,,,0.00%,$343.84,98.24%
,,Gantry Extrusions,1600mm,,,,,,,,0.00%,$343.84,98.24%
,,Bed Extrusions,400mm,,,,,,,,0.00%,$343.84,98.24%
,,Main Extrusions,2250mm,,,,,,,,0.00%,$343.84,98.24%
,,Top Hat Extrusions,1400mm,,,,,,,,0.00%,$343.84,98.24%
,,Total Extrusions,4800mm,AliExpress,$48.61,$4.35,$5.30,1,$58.26,https://www.aliexpress.com/item/1005003428294239.html,16.64%,$285.58,81.60%
,,,900mm,Self,$0.00,$0.00,$0.00,1,$0.00,,0.00%,$285.58,81.60%
,,T-Nut (30pcs/lot),M3,AliExpress,$3.38,$0.00,$0.34,2,$7.44,https://www.aliexpress.com/item/1005010661007823.html,2.12%,$278.15,79.47%
,,,M5,Self,$0.00,$0.00,$0.00,2,$0.00,,0.00%,$278.15,79.47%
,,Furniture Pad Sheet,?,Self,$0.00,$0.00,$0.00,1,$0.00,,0.00%,$278.15,79.47%
,,,,,,,,,,,0.00%,$278.15,79.47%
,Gantry,,,,,,,,,,0.00%,$278.15,79.47%
,,Idlers,20TW6B5,Self,$0.00,$0.00,$0.00,1,$0.00,,0.00%,$278.15,79.47%
,,,20TW6B5,AliExpress,$6.06,$0.00,$0.61,1,$6.67,https://www.aliexpress.com/item/1005007557987612.html,1.90%,$271.48,77.57%
,,Pulleys,6mm,Self,$0.00,$0.00,$0.00,1,$0.00,,0.00%,$271.48,77.57%
